"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Shared teams","hs_shared_team_ids","enumeration","Additional teams whose users can access the Deal based on their permissions. This can be set manually or through Workflows or APIs.","dealinformation","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Shared users","hs_shared_user_ids","enumeration","Additional users that can access the Deal based on their permissions. This can be set manually or through Workflows and APIs.","dealinformation","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Deal Tags","hs_tag_ids","enumeration","List of tag ids applicable to a deal. This property is set automatically by HubSpot.","dealinformation","false","","true","true","false","true","false","true","HubSpot","","92.31%","2/18/26 9:46 AM EST","CRM Setting"
"Total contract value","hs_tcv","number","The total contract value (TCV) of this deal.","dealinformation","false","","true","true","true","false","false","true","HubSpot","","0%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","dealinformation","false","","true","true","false","true","false","true","HubSpot","","100%","2/19/26 2:37 PM EST","CRM UI"
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","dealinformation","false","","true","true","false","false","false","true","HubSpot","","100%","2/19/26 2:37 PM EST","CRM UI"
"Deal owner","hubspot_owner_id","enumeration","The owner of the deal","dealinformation","false","","false","true","false","true","false","true","HubSpot","Automation platform flow (1)","0.59%","2/19/26 2:37 PM EST","CRM UI"
"HubSpot Team","hubspot_team_id","enumeration","The team of the owner of the deal.","dealinformation","false","","true","true","false","true","false","true","HubSpot","","0%","2/19/26 1:04 PM EST","HubSpot Calculation"
"Current Deal Record ID","id_of_current_deal","number","","dealinformation","true","","false","false","false","false","false","false","Lucas Graham","Dependent conditional field (1)","0%","",""
"Implemented?","implemented_","enumeration","","dealinformation","true","Yes (true); No (false)","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Months Active ","months_active","number","","dealinformation","false","","true","false","true","false","false","false","Lucas Graham","","0%","",""
"Last Contacted","notes_last_contacted","datetime","The last time a call, sales email, or meeting was logged for this deal. This is set automatically by HubSpot based on user actions.","dealinformation","false","","true","true","false","false","false","true","HubSpot","","58.58%","2/18/26 8:40 PM EST","HubSpot Calculation"
"Last Activity Date","notes_last_updated","datetime","The last time a note, call, email, meeting, or task was logged for a deal. This is set automatically by HubSpot based on user actions in the deal record.","dealinformation","false","","true","true","false","false","false","true","HubSpot","","91.72%","2/19/26 10:04 AM EST","HubSpot Calculation"
"Next Activity Date","notes_next_activity_date","datetime","The date of the next upcoming activity for a deal. This property is set automatically by HubSpot based on user action. This includes logging a future call, sales email, or meeting using the Log feature, as well as creating a future task or scheduling a future meeting. This is updated automatically by HubSpot.","dealinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Number of Associated Contacts","num_associated_contacts","number","The number of contacts associated with this deal. This property is set automatically by HubSpot.","dealinformation","false","","true","true","true","false","false","true","HubSpot","","100%","2/19/26 2:38 PM EST","HubSpot Calculation"
"Number of times contacted","num_contacted_notes","number","The number of times a call, email or meeting was logged for this deal","dealinformation","false","","true","true","false","false","false","true","HubSpot","","65.68%","2/18/26 8:40 PM EST","HubSpot Calculation"
"Number of Sales Activities","num_notes","number","The total number of sales activities (notes, calls, emails, meetings, or tasks) logged for a deal. This is updated automatically by HubSpot.","dealinformation","false","","true","true","false","false","false","true","HubSpot","","100%","2/19/26 2:37 PM EST","HubSpot Calculation"
"Onboarding/Services Margin","onboarding_services_margin","number","","dealinformation","false","","true","false","true","false","false","false","Lucas Graham","Calculated property (1)","0%","",""
"Parent Company","parent_company","string","","dealinformation","true","","false","false","false","false","false","false","Lucas Graham","","0.59%","",""
"Partner Referred","partner_referred_","enumeration","","dealinformation","true","WineEmotion; Progressive Business Solutions","false","false","false","false","false","false","Lucas Graham","","0%","",""
"Payment Processor","payment_processor","enumeration","","dealinformation","true","Spoton; Shift4; Platinum Relations","false","false","false","false","false","false","Lucas Graham","Automation platform flow (1)","67.46%","2/17/26 11:24 AM EST","Record Merge"
"Pipeline","pipeline","enumeration","The pipeline the deal is in. This determines which stages are options for the deal.","dealinformation","false","","false","true","false","true","false","true","HubSpot","Automation platform flow (3)","100%","2/19/26 2:37 PM EST","CRM UI"
"Platform Purchased","platform_purchased","enumeration","","dealinformation","true","SkyTab; Focus; SpotOn; Winston; RPower","false","false","false","false","false","false","Lucas Graham","Dependent conditional field (2)","2.37%","10/10/25 4:50 PM EDT","CRM UI"
"POS Software","pos_software","enumeration","The software being proposed for the deal.","dealinformation","true","Aloha Essentials; Aloha Purchase; Aloha Cloud; Focus; SpotOn RPOS (SpotOn); SpotOn Express; SkyTab; RPower; Winston; NX Restaurant; QSR Only; AirCharge; Other - Miscellaneous","false","false","false","false","false","false","Lucas Graham","Automation platform flow (6); Dependent conditional field (3)","80.47%","2/17/26 11:24 AM EST","Record Merge"
"Processing - AMEX Per Item Fee","processing___amex_per_item_fee","number","","dealinformation","true","","false","false","false","false","false","false","Lucas Graham","Dependent conditional field (1)","0.59%","2/2/26 8:08 AM EST","CRM UI"
"Processing - AMEX Rate","processing___amex_rate","number","","dealinformation","true","","false","false","false","false","false","false","Lucas Graham","Dependent conditional field (1)","0.59%","2/2/26 8:08 AM EST","CRM UI"
"Processing - V/M/D Keyed Per Item Fee","processing___v_m_d_keyed_per_item_fee","number","","dealinformation","true","","false","false","false","false","false","false","Lucas Graham","Dependent conditional field (1)","0.59%","2/2/26 8:08 AM EST","CRM UI"
"Processing - V/M/D Keyed Rate","processing___v_m_d_keyed_rate","number","","dealinformation","true","","false","false","false","false","false","false","Lucas Graham","Dependent conditional field (1)","0.59%","2/2/26 8:08 AM EST","CRM UI"
"Processing - V/M/D Per Item Fee","processing___v_m_d_per_item_fee","number","","dealinformation","true","","false","false","false","false","false","false","Lucas Graham","Dependent conditional field (1)","0.59%","2/2/26 8:08 AM EST","CRM UI"
"Processing - V/M/D Rate","processing___v_m_d_rate","number","","dealinformation","true","","false","false","false","false","false","false","Lucas Graham","Dependent conditional field (1)","0.59%","2/2/26 8:08 AM EST","CRM UI"
