"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Pricing model","hs_pricing_model","enumeration","Defines the pricing model as either 'flat' or one of three tiered options","price","false","Flat (flat); Volume-based (volume); Stair-step (stairstep); Graduated (graduated)","false","true","false","false","false","true","HubSpot","","0%","",""
"Number of payments","hs_recurring_billing_number_of_payments","number","Number of payments for the given period on a Line Item","price","false","","true","true","true","false","false","true","HubSpot","","0%","",""
"Billing terms","hs_recurring_billing_terms","enumeration","If there are fixed number payments or it goes on until canceled","price","false","Fixed number of payments (FIXED) [READ-ONLY]; Automatically renew until canceled (AUTOMATICALLY_RENEW) [READ-ONLY]","true","true","true","false","false","true","HubSpot","","0%","",""
"Tax amount","hs_tax_amount","number","Amount of tax calculated based on tax rate for this line item","price","false","","true","true","true","false","false","true","HubSpot","","0%","",""
"Tax rate","hs_tax_rate_group_id","enumeration","The tax rate used on this line item","price","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Total contract value","hs_tcv","number","The total contract value (TCV) of this product","price","false","","true","true","true","false","false","true","HubSpot","","0%","",""
"Calculated total discount","hs_total_discount","number","Calculated total Discount for the line item taking in consideration the flat amount and discount percentage.","price","false","","true","true","true","false","false","true","HubSpot","","0%","",""
"Item Cost Explanation","item_cost_explanation","string","","price","true","","false","true","false","false","false","false","Lucas Graham","","0%","",""
"Lease Cost","lease_cost","number","The monthly cost of the hardware plus interest when utilized with one of Alpha's lease partners","price","true","","false","true","false","false","false","false","Lucas Graham","","0%","",""
"Max Manager Discount Allowed","max_manager_discount_allowed","number","","price","true","","false","true","false","false","false","false","Lucas Graham","","0%","",""
"Max Rep Discount Allowed","max_rep_discount_allowed","number","","price","true","","false","true","false","false","false","false","Lucas Graham","","0%","",""
"Unit price","price","number","Cost of product","price","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Quantity","quantity","number","How many units of a product are in this line item","price","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Billing frequency","recurringbillingfrequency","enumeration","How often a line item with recurring billing is billed. It informs the pricing calculation for deals and quotes. Line items with one-time billing aren’t included.","price","false","Weekly (weekly); Every two weeks (biweekly); Monthly (monthly); Quarterly (quarterly); Semi-annually (per_six_months); Annually (annually); Every two years (per_two_years); Every three years (per_three_years); Every four years (per_four_years); Every five years (per_five_years)","false","true","false","false","false","true","HubSpot","Automation platform flow (1)","0%","",""
"Software Cost","software_cost","number","","price","true","","false","true","false","false","false","false","Lucas Graham","","0%","",""
"Tax","tax","number","The tax amount applied","price","false","","false","true","false","false","false","true","HubSpot","","0%","",""
